我	wo
芯片組	xin pian zu
矚目	zhu mu
讀卡器	du ka qi
大選	da xuan
朝廷	chao ting
聚合	ju he
光顧	guang gu
參與者	can yu zhe
漂流	piao liu
博文	bo wen
奢華	she hua
居多	ju duo
慕容	mu rong
網銀	wang yin
獲勝	huo sheng
飛躍	fei yue
涅	nie
用量	yong liang
羣組	qun zu
艦	jian
裕	yu
請示	qing shi
關稅	guan shui
本領	ben ling
下一頁	xia yi ye
娜	na
搞不懂	gao bu dong
教主	jiao zhu
普查	pu cha
準確性	zhun que xing
行政管理	xing zheng guan li
足跡	zu ji
頭銜	tou xian
出衆	chu zhong
外商	wai shang
大鼠	da shu
對外開放	dui wai kai fang
港臺	gang tai
熱銷	re xiao
謝霆鋒	xie ting feng
風中	feng zhong
奧林匹克	ao lin pi ke
專線	zhuan xian
方向盤	fang xiang pan
葡萄牙	pu tao ya
富士	fu shi
專業人士	zhuan ye ren shi
風吹	feng chui
點數	dian shu
下月	xia yue
儀表	yi biao
奎	kui
德國人	de guo ren
豆瓣	dou ban
農業部	nong ye bu
基數	ji shu
恥辱	chi ru
現代人	xian dai ren
鳥人	niao ren
內測	nei ce
單曲	dan qu
比唔上	bi wu shang
雙倍	shuang bei
丹麥	dan mai
拖欠	tuo qian
胡說	hu shuo
華爾街	hua er jie
血清	xue qing
傲	ao
強有力	qiang you li
暴利	bao li
雄厚	xiong hou
廳長	ting zhang
接連	jie lian
焊	han
眼下	yan xia
縣政府	xian zheng fu
伺候	ci hou
偏低	pian di
憤青	fen qing
本部	ben bu
變異	bian yi
過熱	guo re
雕刻	diao ke
企業管理	qi ye guan li
大智慧	da zhi hui
樸素	pu su
脂	zhi
規章	gui zhang
黨委書記	dang wei shu ji
分期	fen qi
大夥	da huo
專制	zhuan zhi
戰鬥機	zhan dou ji
一不小心	yi bu xiao xin
世錦賽	shi jin sai
原著	yuan zhu
弄到	nong dao
細則	xi ze
麥克風	mai ke feng
收斂	shou lian
測算	ce suan
當即	dang ji
艘	sou
華語	hua yu
解決辦法	jie jue ban fa
信息中心	xin xi zhong xin
冒着	mao zhe
烏克蘭	wu ke lan
總歸	zong gui
耳光	er guang
華僑	hua qiao
財力	cai li
靖	jing
僞造	wei zao
冰淇淋	bing qi lin
年末	nian mo
書畫	shu hua
沿線	yan xian
刻錄機	ke lu ji
前不久	qian bu jiu
單片機	dan pian ji
擡起	tai qi
曲目	qu mu
烹飪	peng ren
詳盡	xiang jin
亡靈	wang ling
奶媽	nai ma
炫	xuan
痘痘	dou dou
夢到	meng dao
海拔	hai ba
研究報告	yan jiu bao gao
防火	fang huo
三方	san fang
中線	zhong xian
定金	ding jin
扯淡	che dan
磁帶	ci dai
佛	fu
抽空	chou kong
散熱器	san re qi
理工大學	li gong da xue
琦	qi
甘肅省	gan su sheng
聯合會	lian he hui
國際社會	guo ji she hui
天山	tian shan
征途	zheng tu
押金	ya jin
中國聯通	zhong guo lian tong
已知	yi zhi
機牀	ji chuang
章程	zhang cheng
體育場	ti yu chang
太湖	tai hu
戰機	zhan ji
抽屜	chou ti
歹徒	dai tu
珠三角	zhu san jiao
眉毛	mei mao
嚮導	xiang dao
新生兒	xin sheng er
交通事故	jiao tong shi gu
嘮叨	lao dao
基準	ji zhun
中旬	zhong xun
供應鏈	gong ying lian
南航	nan hang
台州	tai zhou
民航	min hang
買下	mai xia
兼容性	jian rong xing
報廢	bao fei
招聘會	zhao pin hui
燈泡	deng pao
盜竊	dao qie
硅	gui
紡織品	fang zhi pin
超時	chao shi
下山	xia shan
不要臉	bu yao lian
外交部	wai jiao bu
年限	nian xian
戰鬥力	zhan dou li
文集	wen ji
連續劇	lian xu ju
保定	bao ding
吹牛	chui niu
惟美	wei mei
圍棋	wei qi
手淫	shou yin
捐助	juan zhu
礦業	kuang ye
祕訣	mi jue
切除	qie chu
日照	ri zhao
邊框	bian kuang
集羣	ji qun
下旬	xia xun
可知	ke zhi
向着	xiang zhe
李小龍	li xiao long
混蛋	hun dan
稱作	cheng zuo
訪問量	fang wen liang
鄭重	zheng zhong
不久前	bu jiu qian
國家安全	guo jia an quan
解密	jie mi
責任人	ze ren ren
長期以來	zhang qi yi lai
閥	fa
不比	bu bi
弊端	bi duan
按揭	an jie
評判	ping pan
偏高	pian gao
召回	zhao hui
學車	xue che
耿	geng
違章	wei zhang
門窗	men chuang
串口	chuan kou
五金	wu jin
切成	qie cheng
制動	zhi dong
女優	nv you
完整性	wan zheng xing
暗影	an ying
綠地	lv di
同名	tong ming
名家	ming jia
待機	dai ji
放緩	fang huan
時而	shi er
睡醒	shui xing
道家	dao jia
礦山	kuang shan
籃板	lan ban
蔡依林	cai yi lin
兩方面	liang fang mian
創業者	chuang ye zhe
機理	ji li
減免	jian mian
臺灣人	tai wan ren
語錄	yu lu
軍區	jun qu
銀行業	yin xing ye
鎮江	zhen jiang
作案	zuo an
外星人	wai xing ren
狗屁	gou pi
素質教育	su zhi jiao yu
裝配	zhuang pei
上訪	shang fang
堵塞	du sai
海內外	hai nei wai
往外	wang wai
水源	shui yuan
腹瀉	fu xie
衚衕	hu tong
警示	jing shi
植	zhi
責任心	ze ren xin
預示	yu shi
唐僧	tang seng
海岸	hai an
誘發	you fa
過戶	guo hu
北京人	bei jing ren
小馬	xiao ma
徑	jing
演練	yan lian
村委會	cun wei hui
流轉	liu zhuan
看錯	kan cuo
彙編	hui bian
抽查	chou cha
晚報	wan bao
柳州	liu zhou
誇獎	kua jiang
責任制	ze ren zhi
醫療保險	yi liao bao xian
鋼筋	gang jin
高額	gao e
印花稅	yin hua shui
外地人	wai di ren
臺下	tai xia
菲菲	fei fei
蜘蛛俠	zhi zhu xia
費率	fei lv
大慶	da qing
忘掉	wang diao
更深	geng shen
漲到	zhang dao
藉着	ji zhe
鈉	na
預留	yu liu
問世	wen shi
放映	fang ying
效能	xiao neng
消費品	xiao fei pin
演戲	yan xi
使館	shi guan
時節	shi jie
書籤	shu qian
通訊錄	tong xun lu
亂說	luan shuo
定量	ding liang
專業知識	zhuan ye zhi shi
進城	jin cheng
遊俠	you xia
鄭州市	zheng zhou shi
閃亮	shan liang
低成本	di cheng ben
藍籌股	lan chou gu
醬油	jiang you
風景區	feng jing qu
導購	dao gou
收看	shou kan
當着	dang zhe
軍方	jun fang
神州	shen zhou
黨內	dang nei
批示	pi shi
救治	jiu zhi
料理	liao li
臀部	tun bu
小康	xiao kang
照相機	zhao xiang ji
爆笑	bao xiao
載入	zai ru
佔地	zhan di
多達	duo da
工作站	gong zuo zhan
礦工	kuang gong
間隙	jian xi
加州	jia zhou
融化	rong hua
防曬	fang shai
更正	geng zheng
農家	nong jia
關鍵時刻	guan jian shi ke
國航	guo hang
地理位置	di li wei zhi
外公	wai gong
明早	ming zao
考評	kao ping
青菜	qing cai
坎坷	kan ke
敞開	chang kai
索取	suo qu
藏族	cang zu
出線	chu xian
天蠍	tian xie
小資	xiao zi
居室	ju shi
減速	jian su
脈衝	mai chong
艙	cang
餐桌	can zhuo
市場營銷	shi chang ying xiao
會展	hui zhan
無償	wu chang
耗費	hao fei
職業教育	zhi ye jiao yu
口服	kou fu
新聞媒體	xin wen mei ti
老二	lao er
遇難	yu nan
離家	li jia
大院	da yuan
日立	ri li
波段	bo duan
祕籍	mi ji
天氣預報	tian qi yu bao
芽	ya
超聲	chao sheng
散佈	san bu
昊	hao
用不着	yong bu zhe
限額	xian e
點綴	dian zhui
忘卻	wang que
無雙	wu shuang
獵頭	lie tou
胡蘿蔔	hu luo bo
葉片	ye pian
豐富多彩	feng fu duo cai
順德	shun de
季後賽	ji hou sai
小貝	xiao bei
暉	hui
東莞市	dong guan shi
檢修	jian xiu
燃	ran
組團	zu tuan
詳見	xiang jian
讚揚	zan yang
中止	zhong zhi
修好	xiu hao
內飾	nei shi
宏觀經濟	hong guan jing ji
情緣	qing yuan
腳印	jiao yin
苛刻	ke ke
迫不及待	po bu ji dai
退還	tui hai
隊列	dui lie
愛國者	ai guo zhe
朴	pu
秦皇島	qin huang dao
韓寒	han han
齒輪	chi lun
打進	da jin
湖人	hu ren
用以	yong yi
碩	shuo
𡃶	xi
錫	xi
防汛	fang xun
風險投資	feng xian tou zi
低保	di bao
內蒙	nei meng
回車	hui che
愛爾蘭	ai er lan
收款	shou kuan
毛衣	mao yi
簡要	jian yao
預見	yu jian
同級	tong ji
慶典	qing dian
毆打	ou da
發飆	fa biao
一經	yi jing
債權	zhai quan
彈簧	dan huang
振盪	zhen dang
武士	wu shi
祭祀	ji si
飆昇	biao sheng
增長速度	zeng zhang su du
增高	zeng gao
實事求是	shi shi qiu shi
整車	zheng che
音效	yin xiao
並行	bing xing
大山	da shan
看球	kan qiu
競價	jing jia
虛擬機	xu ni ji
鋼管	gang guan
駕校	jia xiao
兩會	liang hui
境地	jing di
後方	hou fang
病理	bing li
盛開	sheng kai
磷	lin
網路	wang lu
與時俱進	yu shi ju jin
詹姆斯	zhan mu si
輔導員	fu dao yuan
首創	shou chuang
本田	ben tian
武昌	wu chang
溫情	wen qing
高跟鞋	gao gen xie
分銷	fen xiao
地下室	di xia shi
失衡	shi heng
漁業	yu ye
立案	li an
聽懂	ting dong
與會	yu hui
貨架	huo jia
賬單	zhang dan
黨組	dang zu
宜昌	yi chang
濰坊	wei fang
生豬	sheng zhu
直轄市	zhi xia shi
科學研究	ke xue yan jiu
義務教育	yi wu jiao yu
檯式	tai shi
軟件開發	ruan jian kai fa
必不可少	bi bu ke shao
柔情	rou qing
經商	jing shang
公測	gong ce
悉尼	xi ni
插座	cha zuo
放不下	fang bu xia
淫穢	yin hui
填報	tian bao
從業	cong ye
澱粉	dian fen
櫻	ying
邢	xing
瓷磚	ci zhuan
病因	bing yin
繳	jiao
萬名	wan ming
過不去	guo bu qu
高頻	gao pin
北京奧運	bei jing ao yun
擬定	ni ding
比方	bi fang
江門	jiang men
窯	yao
紅利	hong li
週歲	zhou sui
預案	yu an
伴有	ban you
側重	ce zhong
完備	wan bei
晚期	wan qi
研究成果	yan jiu cheng guo
社會保險	she hui bao xian
經絡	jing luo
草坪	cao ping
邁出	mai chu
保溫	bao wen
哈佛	ha fu
客商	ke shang
收藏夾	shou cang jia
贊助商	zan zhu shang
鄂	e
富士康	fu shi kang
崇尚	chong shang
惦記	dian ji
春運	chun yun
聽課	ting ke
諸位	zhu wei
閥門	fa men
雷鋒	lei feng
地名	di ming
執照	zhi zhao
飛天	fei tian
點播	dian bo
動脈	dong mai
新聞網	xin wen wang
京劇	jing ju
成就感	cheng jiu gan
搗亂	dao luan
支部	zhi bu
磁	ci
綜合徵	zong he zheng
社會化	she hui hua
美德	mei de
負面影響	fu mian ying xiang
共同努力	gong tong nu li
特約	te yue
申請表	shen qing biao
辯	bian
部委	bu wei
幫派	bang pai
插上	cha shang
諸葛	zhu ge
上崗	shang gang
不只	bu zhi
九江	jiu jiang
播種	bo zhong
漫漫	man man
示例	shi li
第三季度	di san ji du
美聯儲	mei lian chu
養護	yang hu
網格	wang ge
行政機關	xing zheng ji guan
評比	ping bi
辛勤	xin qin
高中生	gao zhong sheng
互助	hu zhu
低位	di wei
助攻	zhu gong
喬丹	qiao dan
國家標準	guo jia biao zhun
在華	zai hua
買方	mai fang
乾旱	qian han
全額	quan e
常委	chang wei
慢慢來	man man lai
文化遺產	wen hua yi chan
膽小	dan xiao
趨向	qu xiang
配偶	pei ou
低點	di dian
商學院	shang xue yuan
奇異	qi yi
故宮	gu gong
芬蘭	fen lan
荷花	he hua
首款	shou kuan
點擊率	dian ji lv
上證	shang zheng
二十多	er shi duo
瓷	ci
紀委	ji wei
之多	zhi duo
城市化	cheng shi hua
天價	tian jia
奧地利	ao di li
威望	wei wang
救市	jiu shi
明代	ming dai
理事會	li shi hui
重新啓動	zhong xin qi dong
五筆	wu bi
出廠	chu chang
抵禦	di yu
活該	huo gai
翻唱	fan chang
功耗	gong hao
國慶節	guo qing jie
整數	zheng shu
湛江	zhan jiang
老漢	lao han
地稅	di shui
小泉	xiao quan
年產	nian chan
深層次	shen ceng ci
靈活性	ling huo xing
鬥地主	dou di zhu
鮮活	xian huo
寺廟	si miao
帷幕	wei mu
成品油	cheng pin you
知曉	zhi xiao
西安市	xi an shi
跟唔上	gen wu shang
遺漏	yi lou
代辦	dai ban
巴掌	ba zhang
拖拉機	tuo la ji
排水	pai shui
民用	min yong
漂泊	piao po
直屬	zhi shu
薔薇	qiang wei
遼	liao
孫悟空	sun wu kong
早年	zao nian
臉蛋	lian dan
不料	bu liao
使用權	shi yong quan
回饋	hui kui
海南省	hai nan sheng
生物學	sheng wu xue
膠片	jiao pian
造價	zao jia
催化劑	cui hua ji
共產黨員	gong chan dang yuan
初三	chu san
幹事	gan shi
毫無疑問	hao wu yi wen
礦泉水	kuang quan shui
複查	fu cha
調侃	diao kan
車手	che shou
副教授	fu jiao shou
多頭	duo tou
歷史性	li shi xing
確診	que zhen
編織	bian zhi
總書記	zong shu ji
嘖	ze
計算器	ji suan qi
評議	ping yi
回訪	hui fang
排查	pai cha
擱	ge
皇宮	huang gong
考勤	kao qin
色素	se su
入黨	ru dang
城市規劃	cheng shi gui hua
淡化	dan hua
烈士	lie shi
管用	guan yong
虔誠	qian cheng
倒計時	dao ji shi
堵車	du che
放送	fang song
白金	bai jin
陳冠希	chen guan xi
銀幕	yin mu
併發症	bing fa zheng
好熱	hao re
惱火	nao huo
打分	da fen
擴建	kuo jian
漫天	man tian
絢麗	xuan li
統計數據	tong ji shu ju
路燈	lu deng
辨別	bian bie
鍛造	duan zao
開發人員	kai fa ren yuan
陽性	yang xing
嬰幼兒	ying you er
收據	shou ju
效果圖	xiao guo tu
暗黑	an hei
樣板	yang ban
歷代	li dai
漲跌	zhang die
美酒	mei jiu
計生	ji sheng
轉播	zhuan bo
厚重	hou zhong
喧囂	xuan xiao
回購	hui gou
車輪	che lun
里程	li cheng
全國人大	quan guo ren da
大蝦	da xia
村長	cun zhang
素養	su yang
苗條	miao tiao
調劑	diao ji
佛山市	fu shan shi
全國性	quan guo xing
序幕	xu mu
易建聯	yi jian lian
緊縮	jin suo
訛	e
塑料袋	su liao dai
大使館	da shi guan
座談	zuo tan
愛情故事	ai qing gu shi
投籃	tou lan
有色金屬	you se jin shu
歷年	li nian
滾滾	gun gun
縫隙	feng xi
翻新	fan xin
聘	pin
乒	ping
告誡	gao jie
天安門	tian an men
新作	xin zuo
榜首	bang shou
雙贏	shuang ying
合夥	he huo
團員	tuan yuan
堅固	jian gu
搶佔	qiang zhan
歲時	sui shi
近距離	jin ju li
造反	zao fan
骯髒	ang zang
互補	hu bu
叢書	cong shu
官場	guan chang
民俗	min su
液壓	ye ya
番禺	fan yu
臺獨	tai du
長三角	zhang san jiao
風貌	feng mao
不捨	bu she
偏好	pian hao
功底	gong di
可口可樂	ke kou ke le
器械	qi xie
大學城	da xue cheng
徐家匯	xu jia hui
挪威	nuo wei
服務質量	fu wu zhi liang
歷時	li shi
畫質	hua zhi
簡便	jian bian
體外	ti wai
何在	he zai
次日	ci ri
置換	zhi huan
電工	dian gong
黨政	dang zheng
不俗	bu su
並把	bing ba
光華	guang hua
典雅	dian ya
滄海	cang hai
狄	di
路費	lu fei
阿布	a bu
靠譜	kao pu
公章	gong zhang
受賄	shou hui
悠久	you jiu
標本	biao ben
記事本	ji shi ben
誌	zhi
一串	yi chuan
世道	shi dao
冷凍	leng dong
毒性	du xing
環保局	huan bao ju
箭頭	jian tou
試一試	shi yi shi
不計	bu ji
住處	zhu chu
勞累	lao lei
天平	tian ping
捷克	jie ke
當月	dang yue
發瘋	fa feng
聚餐	ju can
國足	guo zu
林彪	lin biao
潛規則	qian gui ze
貧血	pin xue
防控	fang kong
名錄	ming lu
固體	gu ti
校驗	xiao yan
水產	shui chan
活活	huo huo
繁瑣	fan suo
膽固醇	dan gu chun
華南虎	hua nan hu
裸奔	luo ben
青島市	qing dao shi
項目管理	xiang mu guan li
元帥	yuan shuai
晶體	jing ti
林志玲	lin zhi ling
臉龐	lian pang
通州	tong zhou
阻塞	zu sai
原廠	yuan chang
有所不同	you suo bu tong
松江	song jiang
煙火	yan huo
節假日	jie jia ri
芳草	fang cao
錦標賽	jin biao sai
飽和	bao he
商圈	shang quan
太熱	tai re
對聯	dui lian
工業園區	gong ye yuan qu
水腫	shui zhong
豔麗	yan li
開局	kai ju
忙於	mang yu
採取措施	cai qu cuo shi
搞不好	gao bu hao
海信	hai xin
狗日	gou ri
當官	dang guan
蟑螂	zhang lang
增量	zeng liang
對得起	dui de qi
氫	qing
胸懷	xiong huai
裁縫	cai feng
鞍	an
首日	shou ri
勳章	xun zhang
擔負	dan fu
氮	dan
竈	zao
西方國家	xi fang guo jia
鑽進	zuan jin
官僚	guan liao
峽谷	xia gu
淄博	zi bo
相符	xiang fu
裂縫	lie feng
隨時隨地	sui shi sui di
保羅	bao luo
名列	ming lie
吸血鬼	xi xue gui
墨盒	mo he
平庸	ping yong
平郵	ping you
表達式	biao da shi
一覽	yi lan
叛逆	pan ni
楓葉	feng ye
沁	qin
沈	shen
虞	yu
金牛	jin niu
養老保險	yang lao bao xian
半決賽	ban jue sai
取名	qu ming
嚴格按照	yan ge an zhao
應屆	ying jie
涉足	she zu
綠洲	lv zhou
鋁合金	lv he jin
世界經濟	shi jie jing ji
中國社會	zhong guo she hui
同桌	tong zhuo
婦科	fu ke
居委會	ju wei hui
氨基酸	an ji suan
清淨	qing jing
牢固	lao gu
豪門	hao men
閆	yan
熊市	xiong shi
瑟	se
等離子	deng li zi
紀實	ji shi
處男	chu nan
託福	tuo fu
韓語	han yu
印章	yin zhang
吸附	xi fu
宮廷	gong ting
居家	ju jia
弱勢羣體	ruo shi qun ti
擡高	tai gao
瞎說	xia shuo
羅納爾多	luo na er duo
薄膜	bao mo
邂逅	xie hou
濱海	bin hai
華山	hua shan
越野	yue ye
陸地	lu di
外匯儲備	wai hui chu bei
天數	tian shu
孕育	yun yu
寄出	ji chu
整形	zheng xing
條目	tiao mu
機頂盒	ji ding he
甯	ning
發愁	fa chou
睿	rui
芝加哥	zhi jia ge
裝載	zhuang zai
億萬	yi wan
心煩	xin fan
西寧	xi ning
南陽	nan yang
固有	gu you
庭院	ting yuan
蒙牛	meng niu
鋼板	gang ban
化合物	hua he wu
突發事件	tu fa shi jian
色澤	se ze
襯衣	chen yi
跟前	gen qian
開放式	kai fang shi
國道	guo dao
小妹妹	xiao mei mei
殺掉	sha diao
爭霸	zheng ba
當地人	dang di ren
習慣性	xi guan xing
舞曲	wu qu
逼迫	bi po
避孕	bi yun
點點滴滴	dian dian di di
侃	kan
尊貴	zun gui
抒情	shu qing
礦物	kuang wu
香格里拉	xiang ge li la
二氧化碳	er yang hua tan
學報	xue bao
授	shou
標語	biao yu
歸宿	gui su
節水	jie shui
糟蹋	zao ta
靚麗	jing li
戒菸	jie yan
方塊	fang kuai
明瞭	ming liao
面談	mian tan
亦可	yi ke
刷機	shua ji
數年	shu nian
海濱	hai bin
限於	xian yu
風俗	feng su
勸說	quan shuo
外衣	wai yi
大大小小	da da xiao xiao
失利	shi li
子弟	zi di
寬敞	kuan chang
摘編	zhai bian
棗	zao
答疑	da yi
耗材	hao cai
鑄造	zhu zao
預售	yu shou
一審	yi shen
易趣	yi qu
期權	qi quan
溢出	yi chu
貝克漢姆	bei ke han mu
電站	dian zhan
首映	shou ying
駱	luo
上一頁	shang yi ye
下鄉	xia xiang
偵察	zhen cha
包頭	bao tou
婭	ya
孤立	gu li
對陣	dui zhen
放電	fang dian
眼部	yan bu
貝爾	bei er
迪斯尼	di si ni
追隨	zhui sui
馬克	ma ke
九寨溝	jiu zhai gou
刻畫	ke hua
如期	ru qi
待定	dai ding
復旦大學	fu dan da xue
菜餚	cai yao
過早	guo zao
醫療器械	yi liao qi xie
黑莓	hei mei
中俄	zhong e
代購	dai gou
光圈	guang quan
口徑	kou jing
存摺	cun zhe
楞	leng
莊嚴	zhuang yan
解禁	jie jin
訪客	fang ke
貴州省	gui zhou sheng
雅典	ya dian
中新社	zhong xin she
倉儲	cang chu
源泉	yuan quan
管理處	guan li chu
落伍	luo wu
衆所周知	zhong suo zhou zhi
雲集	yun ji
倍感	bei gan
基本原則	ji ben yuan ze
寧波市	ning bo shi
所有者	suo you zhe
排量	pai liang
最優	zui you
港灣	gang wan
白血病	bai xue bing
職權	zhi quan
設法	she fa
高昂	gao ang
大熊貓	da xiong mao
就診	jiu zhen
歸檔	gui dang
海運	hai yun
裸照	luo zhao
駿	jun
骨骼	gu ge
上交	shang jiao
亮麗	liang li
信道	xin dao
反傾銷	fan qing xiao
受騙	shou pian
可就	ke jiu
檢察	jian cha
貼心	tie xin
不慎	bu shen
優於	you yu
徽章	hui zhang
政績	zheng ji
燈會	deng hui
狂暴	kuang bao
白髮	bai fa
募集	mu ji
淋漓盡致	lin li jin zhi
百餘	bai yu
繪	hui
豈不	qi bu
迅猛	xun meng
世家	shi jia
發信	fa xin
私募	si mu
立方米	li fang mi
紀念館	ji nian guan
領帶	ling dai
養老金	yang lao jin
少林	shao lin
打個電話	da ge dian hua
有線電視	you xian dian shi
猛地	meng di
甲醛	jia quan
財政收入	cai zheng shou ru
頸部	jing bu
傑克	jie ke
大法	da fa
太后	tai hou
專場	zhuan chang
廠長	chang zhang
投保	tou bao
緊湊	jin cou
跳蚤	tiao zao
醇	chun
黃頁	huang ye
不差	bu cha
信用證	xin yong zheng
分會	fen hui
漢口	han kou
禹	yu
自費	zi fei
蕪湖	wu hu
上落班	shang luo ban
另行	ling xing
對焦	dui jiao
戰神	zhan shen
抵抗力	di kang li
敬佩	jing pei
日產	ri chan
構想	gou xiang
溼度	shi du
磨合	mo he
廢水	fei shui
條碼	tiao ma
編輯部	bian ji bu
可持續	ke chi xu
寶典	bao dian
溶解	rong jie
煥	huan
理髮	li fa
配額	pei e
鉀	jia
切斷	qie duan
合作社	he zuo she
塗鴉	tu ya
宣傳部	xuan chuan bu
對戰	dui zhan
查明	cha ming
機油	ji you
治好	zhi hao
熱賣	re mai
首度	shou du
駕馭	jia yu
加固	jia gu
單號	dan hao
田園	tian yuan
第二輪	di er lun
腸道	chang dao
謀求	mou qiu
轉折	zhuan zhe
名師	ming shi
孫燕姿	sun yan zi
白宮	bai gong
縱向	zong xiang
聯機	lian ji
車道	che dao
圖層	tu ceng
淵	yuan
白銀	bai yin
羞澀	xiu se
前身	qian shen
勝過	sheng guo
存儲卡	cun chu ka
提拔	ti ba
無誤	wu wu
相鄰	xiang lin
血糖	xue tang
補考	bu kao
資產階級	zi chan jie ji
賺取	zhuan qu
五糧液	wu liang ye
僅次於	jin ci yu
初學者	chu xue zhe
南極	nan ji
土匪	tu fei
大款	da kuan
天鵝	tian e
實錄	shi lu
常委會	chang wei hui
引人注目	yin ren zhu mu
微觀	wei guan
毅然	yi ran
裝潢	zhuang huang
